datetime_utc_0,actual_time_utc_0,postal,booking_id,committed_time_utc_0,estimated_time_utc_0,status,type
2017-06-09T16:27:48.000+02:00,,10969,b6a0cf9b-fa2e-454d-ab85-124a25439e54,2017-06-09T16:47:21.000+02:00,2017-06-09T16:47:21.000+02:00,open,pickup
2017-06-09T16:28:05.000+02:00,,10967,f99c3fd8-7adc-4cfe-9205-c41046a27880,2017-06-09T16:46:55.000+02:00,2017-06-09T16:46:55.000+02:00,open,pickup
2017-06-09T16:28:07.000+02:00,,12053,7c91e590-1dbd-466c-8080-a83d63ccaf93,2017-06-09T17:03:14.000+02:00,2017-06-09T17:03:14.000+02:00,open,dropoff
2017-06-09T16:28:07.000+02:00,,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:35:09.000+02:00,open,dropoff
2017-06-09T16:28:26.000+02:00,,10961,6d961598-4964-43a4-aad5-9934a5d0a8ad,2017-06-09T16:37:48.000+02:00,2017-06-09T16:37:48.000+02:00,cancelled,dropoff
2017-06-09T16:28:28.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:29:45.000+02:00,open,pickup
2017-06-09T16:28:28.000+02:00,,10969,b6a0cf9b-fa2e-454d-ab85-124a25439e54,2017-06-09T16:51:30.000+02:00,2017-06-09T16:51:30.000+02:00,cancelled,dropoff
2017-06-09T16:28:28.000+02:00,,10969,b6a0cf9b-fa2e-454d-ab85-124a25439e54,2017-06-09T16:47:21.000+02:00,2017-06-09T16:47:21.000+02:00,cancelled,pickup
2017-06-09T16:28:33.000+02:00,2017-06-09T16:28:33.000+02:00,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:28:30.000+02:00,closed,dropoff
2017-06-09T16:29:05.000+02:00,2017-06-09T16:29:05.000+02:00,10827,fd520d51-5f83-40cd-92f4-d84f685f60d0,2017-06-09T16:24:47.000+02:00,2017-06-09T16:24:47.000+02:00,closed,pickup
2017-06-09T16:29:09.000+02:00,,10179,fd520d51-5f83-40cd-92f4-d84f685f60d0,2017-06-09T16:47:19.000+02:00,2017-06-09T16:47:19.000+02:00,open,dropoff
2017-06-09T16:29:27.000+02:00,,10969,1389541b-7365-4bd1-9955-5be390325d6c,2017-06-09T16:36:51.000+02:00,2017-06-09T16:36:51.000+02:00,open,pickup
2017-06-09T16:29:39.000+02:00,,10963,828db724-ffc2-41b4-b8ab-1252c239631c,2017-06-09T16:44:16.000+02:00,2017-06-09T16:44:16.000+02:00,open,pickup
2017-06-09T16:29:47.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:29:49.000+02:00,open,pickup
2017-06-09T16:29:47.000+02:00,,10967,b82bf141-d168-4724-a734-41543759f1e7,2017-06-09T17:02:53.000+02:00,2017-06-09T17:02:53.000+02:00,open,dropoff
2017-06-09T16:30:49.000+02:00,,12053,7c91e590-1dbd-466c-8080-a83d63ccaf93,2017-06-09T17:03:14.000+02:00,2017-06-09T17:03:14.000+02:00,cancelled,dropoff
2017-06-09T16:30:49.000+02:00,,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:33:57.000+02:00,open,dropoff
2017-06-09T16:30:53.000+02:00,2017-06-09T16:30:53.000+02:00,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:29:49.000+02:00,closed,pickup
2017-06-09T16:30:57.000+02:00,,13353,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:52:57.000+02:00,2017-06-09T16:52:57.000+02:00,open,dropoff
2017-06-09T16:30:57.000+02:00,,10119,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:42:41.000+02:00,2017-06-09T16:42:41.000+02:00,open,pickup
2017-06-09T16:30:57.000+02:00,,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:34:03.000+02:00,open,dropoff
2017-06-09T16:31:13.000+02:00,,10559,7c6012e0-564c-4b2a-a7be-2f5699da9ed2,2017-06-09T16:44:53.000+02:00,2017-06-09T16:44:53.000+02:00,open,dropoff
2017-06-09T16:31:55.000+02:00,2017-06-09T16:31:55.000+02:00,10551,6546ff15-4359-4917-9e5d-e7e490859198,2017-06-09T16:32:35.000+02:00,2017-06-09T16:32:35.000+02:00,closed,pickup
2017-06-09T16:32:06.000+02:00,,12053,06db84be-3d19-4055-b84c-a8d0e27ca326,2017-06-09T17:09:17.000+02:00,2017-06-09T17:09:17.000+02:00,open,dropoff
2017-06-09T16:33:02.000+02:00,,10969,1389541b-7365-4bd1-9955-5be390325d6c,2017-06-09T16:36:51.000+02:00,2017-06-09T16:36:51.000+02:00,open,pickup
2017-06-09T16:33:19.000+02:00,,13353,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:52:57.000+02:00,2017-06-09T16:55:20.000+02:00,open,dropoff
2017-06-09T16:33:19.000+02:00,,10119,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:42:41.000+02:00,2017-06-09T16:42:54.000+02:00,open,pickup
2017-06-09T16:33:19.000+02:00,,12049,de554fb5-4a85-4c5b-8438-ff744641ffdc,2017-06-09T17:18:11.000+02:00,2017-06-09T17:18:11.000+02:00,open,dropoff
2017-06-09T16:33:19.000+02:00,,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:33:39.000+02:00,open,dropoff
2017-06-09T16:33:21.000+02:00,,10967,f99c3fd8-7adc-4cfe-9205-c41046a27880,2017-06-09T16:46:55.000+02:00,2017-06-09T16:46:55.000+02:00,open,pickup
2017-06-09T16:33:42.000+02:00,2017-06-09T16:33:42.000+02:00,10117,93df9cd6-0e6b-4ddd-83cc-d4ab87dc0109,2017-06-09T16:25:35.000+02:00,2017-06-09T16:25:35.000+02:00,closed,pickup
2017-06-09T16:34:05.000+02:00,2017-06-09T16:34:05.000+02:00,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:33:39.000+02:00,closed,dropoff
2017-06-09T16:34:07.000+02:00,,10119,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:42:41.000+02:00,2017-06-09T16:42:54.000+02:00,open,pickup
2017-06-09T16:34:29.000+02:00,,13353,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:52:57.000+02:00,2017-06-09T16:55:20.000+02:00,cancelled,dropoff
2017-06-09T16:34:29.000+02:00,,10119,ede4eb08-3a28-4bc1-8c09-32b13e6e6425,2017-06-09T16:42:41.000+02:00,2017-06-09T16:42:54.000+02:00,cancelled,pickup
2017-06-09T16:34:29.000+02:00,,12049,de554fb5-4a85-4c5b-8438-ff744641ffdc,2017-06-09T17:18:11.000+02:00,2017-06-09T17:27:13.000+02:00,open,dropoff
2017-06-09T16:34:32.000+02:00,,10969,5d125c26-c4d2-44f7-8109-ee53f29426aa,2017-06-09T17:11:42.000+02:00,2017-06-09T17:11:42.000+02:00,open,dropoff
2017-06-09T16:34:32.000+02:00,,10435,5d125c26-c4d2-44f7-8109-ee53f29426aa,2017-06-09T16:53:11.000+02:00,2017-06-09T16:53:11.000+02:00,open,pickup
2017-06-09T16:37:38.000+02:00,,10969,2863ef3d-26e9-4db3-bf38-10df4a947f29,2017-06-09T16:57:05.000+02:00,2017-06-09T16:57:05.000+02:00,open,dropoff
2017-06-09T16:38:27.000+02:00,2017-06-09T16:38:27.000+02:00,10969,1389541b-7365-4bd1-9955-5be390325d6c,2017-06-09T16:36:51.000+02:00,2017-06-09T16:36:51.000+02:00,closed,pickup
2017-06-09T16:40:17.000+02:00,,10963,828db724-ffc2-41b4-b8ab-1252c239631c,2017-06-09T16:44:16.000+02:00,2017-06-09T16:44:16.000+02:00,open,pickup
2017-06-09T16:41:15.000+02:00,,10179,55035d74-7eb7-452a-934b-8c985df9892a,2017-06-09T16:55:28.000+02:00,2017-06-09T16:55:28.000+02:00,open,dropoff
